IF extra_degree==False AND english_speaking<=0.4999999999958334 AND german_speaking<=0.3333333333333333 AND dutch_speaking<=0.99999999985 THEN Class=reject ,[5611.0; 512.0],[5611; 0; 512],{0.0: 3826; 1.0: 2297},(0.18802561)
IF degrees<=0.8 AND english_speaking>=0.14285714285714285 AND experience>=2.0 AND french_speaking<=0.6666666666527777 AND dutch_speaking>=8.333333333055556e-12 THEN Class=hire ,[21.0; 2349.0],[21; 0; 2349],{0.0: 1503; 1.0: 867},(0.07058172410069793)
IF age>=39.0 AND potential<=0.8996383079413974 AND experience>=6.0 AND extra_degree!=False THEN Class=hire ,[71.0; 384.0],[71; 0; 384],{0.0: 316; 1.0: 139},(0.04524693214457284)
IF potential<=0.7499850750747058 AND german_speaking>=1.785714285701531e-12 AND french_speaking<=0.6666666666388888 AND extra_degree!=False AND experiences<=0.2808510638297872 THEN Class=hire ,[54.0; 225.0],[54; 0; 225],{0.0: 168; 1.0: 111},(0.046988173892928906)
IF french_speaking<=0.3902439024390244 AND degrees>=0.85 AND english_speaking<=0.37209302325581395 AND french_speaking>=0.2857142857142857 AND potential>=0.7504966701452301 THEN Class=hire ,[120.0; 238.0],[120; 0; 238],{0.0: 226; 1.0: 132},(0.04606973050680387)
IF dutch_speaking>=0.20454545454545456 AND french_speaking>=0.34285714285714286 AND age<=51.0 AND english_speaking>=0.2647058823529412 AND potential<=0.9327387634690295 THEN Class=reject ,[70.0; 26.0],[70; 0; 26],{1.0: 71; 0.0: 25},(0.048274060095804906)
IF language_dutch==False AND gender!=0 AND german_speaking<=0.1111111111111111 AND degree!=False AND age<=57.0 THEN Class=hire ,[20.0; 54.0],[20; 0; 54],{0.0: 53; 1.0: 21},(0.043474415542300075)
IF french_speaking<=0.425 AND age>=29.0 AND language_dutch!=False AND language_german==False AND potential<=0.9333455637284773 THEN Class=hire ,[27.0; 52.0],[27; 0; 52],{0.0: 50; 1.0: 29},(0.055626822157434384)
IF language_german==False AND english_speaking<=0.34285714285714286 AND age<=42.0 AND german_speaking<=0.16216216216216217 AND age>=22.0 THEN Class=reject ,[65.0; 27.0],[65; 0; 27],{1.0: 63; 0.0: 29},(0.061039338075192365)
IF french_speaking<=0.275 AND language_dutch!=False AND extra_degrees<=0.85 AND dutch_speaking<=0.375 AND experience<=9.0 THEN Class=reject ,[21.0; 11.0],[21; 0; 11],{1.0: 22; 0.0: 10},(0.08509861212563914)
IF potential<=0.8666868010955333 AND experience<=14.0 AND age<=38.0 AND experiences<=0.2723404255319149 THEN Class=hire ,[1.0; 18.0],[1; 0; 18],{0.0: 18; 1.0: 1},(0.11621315192743763)
IF language_french!=False AND dutch_speaking<=0.34146341463414637 AND english_speaking<=0.36585365853658536 THEN Class=hire ,[3.0; 10.0],[3; 0; 10],{0.0: 9; 1.0: 4},(0.16446124763705106)
IF english_speaking<=0.38095238095238093 THEN Class=reject ,[8.0; 0.0],[8; 0; 0],{1.0: 8},(0.07999999999999999)
IF age>=26.0 THEN Class=hire ,[1.0; 1.0],[1; 0; 1],{0.0: 1; 1.0: 1},(1e-06)
IF TRUE THEN Class=reject ,[6093.0; 3907.0],[6093; 0; 3907],{0.0: 6234; 1.0: 3766},(1e-06)
