IF degree!=False AND potential<=0.7662184129140525 AND degrees<=0.85 THEN Class=hire ,[4448.0; 4890.0],[249; 4199; 691],{0.0: 3271; 1.0: 1868},(0.11919756000000001)
IF extra_degree==False THEN Class=reject ,[3990.0; 1611.0],[2379; 1611; 0],{0.0: 2374; 1.0: 1616},(0.09118332261853826)
IF experience>=7.0 AND potential<=0.8681207133265858 AND experiences<=0.301063829787234 AND age>=31.0 THEN Class=hire ,[103.0; 328.0],[12; 91; 237],{0.0: 236; 1.0: 104},(0.06510062071519994)
IF potential<=0.8167832159882025 AND degrees<=0.9 AND english_speaking<=0.38461538461538464 AND experiences<=0.35744680851063826 AND dutch_speaking<=0.3548387096774194 THEN Class=hire ,[44.0; 94.0],[10; 34; 60],{0.0: 60; 1.0: 44},(0.04165824351594724)
IF experience>=13.0 AND potential<=0.9345837394006363 AND dutch_speaking<=0.34146341463414637 AND german_speaking>=0.023255813953488372 AND extra_degrees>=0.65 THEN Class=hire ,[27.0; 93.0],[12; 15; 78],{0.0: 78; 1.0: 27},(0.06058279264406648)
IF german_speaking>=0.06451612903225806 AND experience<=7.0 AND french_speaking<=0.41025641025641024 AND potential<=0.9343389691144426 AND french_speaking>=0.2903225806451613 THEN Class=hire ,[35.0; 80.0],[26; 9; 71],{0.0: 72; 1.0: 34},(0.06442652675436908)
IF potential>=0.8665491952703022 AND dutch_speaking>=0.23684210526315788 AND experience<=12.0 AND experiences>=0.1829787234042553 AND english_speaking>=0.3 THEN Class=hire ,[21.0; 43.0],[17; 4; 39],{0.0: 40; 1.0: 20},(0.07047325102880658)
IF french_speaking>=0.35 AND german_speaking>=0.05 AND experience<=15.0 AND english_speaking>=0.275 THEN Class=reject ,[42.0; 10.0],[40; 2; 8],{1.0: 42; 0.0: 8},(0.06171926364234055)
IF german_speaking<=0.047619047619047616 AND degrees>=0.9 AND dutch_speaking>=0.20512820512820512 AND english_speaking<=0.3953488372093023 AND experience<=18.0 THEN Class=reject ,[34.0; 11.0],[34; 0; 11],{1.0: 33; 0.0: 12},(0.08446066215735137)
IF dutch_speaking<=0.30952380952380953 AND language_english!=False AND dutch_speaking>=0.14634146341463414 AND english_speaking>=0.2727272727272727 AND potential>=0.8171742015639916 THEN Class=hire ,[5.0; 24.0],[5; 0; 24],{0.0: 24; 1.0: 5},(0.11287288363343187)
IF age<=34.0 AND potential>=0.8166673480523403 AND dutch_speaking<=0.3157894736842105 THEN Class=reject ,[12.0; 0.0],[12; 0; 0],{1.0: 12},(0.140625)
IF gender!=0 AND german_speaking<=0.06060606060606061 THEN Class=hire ,[0.0; 9.0],[0; 0; 9],{0.0: 9},(0.18000000000000002)
IF experience<=6.0 AND age>=31.0 AND age<=35.0 THEN Class=hire ,[0.0; 3.0],[0; 0; 3],{0.0: 3},(0.1983471074380165)
IF age>=28.0 THEN Class=reject ,[8.0; 0.0],[8; 0; 0],{1.0: 8},(1e-06)
IF TRUE THEN Class=reject ,[8769.0; 7196.0],[2804; 5965; 1231],{0.0: 6187; 1.0: 3813},(1e-06)
