IF extra_degree!=False AND experiences<=0.35638297872340424 THEN Class=hire ,[852.0; 3310.0],[225; 627; 2683],{0.0: 2349; 1.0: 1186},(0.18754969999999999)
IF language_english==False THEN Class=reject ,[4487.0; 270.0],[4219; 268; 2],{0.0: 2622; 1.0: 1867},(0.009893836106011984)
IF experience<=13.0 AND extra_degree==False THEN Class=reject ,[1229.0; 229.0],[1004; 225; 4],{0.0: 730; 1.0: 503},(0.027343557917684263)
IF potential<=0.5004965974260502 AND german_speaking<=0.19230769230769232 AND experiences<=0.17446808510638298 THEN Class=reject ,[400.0; 127.0],[278; 122; 5],{0.0: 253; 1.0: 152},(0.05856364199554748)
IF degree==False THEN Class=reject ,[128.0; 0.0],[128; 0; 0],{0.0: 70; 1.0: 58},(0.09411435173838453)
IF nationality==0 AND experiences<=0.2393617021276596 AND experience<=37.0 AND potential<=0.9166313049183845 AND dutch_speaking<=0.34615384615384615 THEN Class=hire ,[41.0; 106.0],[9; 32; 74],{0.0: 115},(0.18662131519274378)
IF nationality!=0 THEN Class=reject ,[50.0; 0.0],[50; 0; 0],{1.0: 50},(0.05540166204986149)
IF language_german==False AND extra_degree==False AND dutch_speaking>=0.21875 THEN Class=reject ,[29.0; 5.0],[24; 5; 0],{0.0: 29},(0.14320987654320988)
IF german_speaking>=0.05263157894736842 AND french_speaking>=0.3023255813953488 AND age>=42.0 THEN Class=hire ,[1.0; 9.0],[0; 1; 8],{0.0: 9},(0.17578125)
IF age<=36.0 THEN Class=hire ,[0.0; 2.0],[0; 0; 2],{0.0: 2},(0.20408163265306123)
IF age>=40.0 THEN Class=reject ,[5.0; 0.0],[5; 0; 0],{0.0: 5},(1e-06)
IF TRUE THEN Class=reject ,[7222.0; 4058.0],[5942; 1280; 2778],{0.0: 6184; 1.0: 3816},(1e-06)
