IF extra_degree==False THEN Class=reject ,[6144.0; 10.0],[6144; 0; 10],{0.0: 3787; 1.0: 2367},(0.21888241999999997)
IF english_speaking>=4.999999999e-11 AND potential<=0.9496950258403023 AND dutch_speaking<=0.6666666666388888 THEN Class=hire ,[11.0; 3331.0],[11; 0; 3331],{0.0: 2111; 1.0: 1231},(0.061080134313016815)
IF potential<=0.0 AND experience<=20.0 AND age>=31.0 THEN Class=reject ,[183.0; 86.0],[183; 0; 86],{0.0: 155; 1.0: 114},(0.075050390526581)
IF language_english!=False AND experience>=3.0 AND experience<=40.0 THEN Class=hire ,[26.0; 98.0],[26; 0; 98],{0.0: 85; 1.0: 39},(0.08919873245812582)
IF gender!=0 AND married==False AND age<=59.0 THEN Class=hire ,[22.0; 33.0],[22; 0; 33],{0.0: 30; 1.0: 25},(0.08302897492086679)
IF age<=48.0 AND experiences<=0.0010638297872340426 AND language_english==False THEN Class=reject ,[22.0; 0.0],[22; 0; 0],{1.0: 15; 0.0: 7},(0.1052295918367347)
IF married!=False AND experience>=24.0 THEN Class=hire ,[2.0; 8.0],[2; 0; 8],{0.0: 7; 1.0: 3},(0.10553633217993082)
IF age>=29.0 AND dutch_speaking<=0.499999999975 THEN Class=reject ,[11.0; 0.0],[11; 0; 0],{1.0: 6; 0.0: 5},(0.13368055555555552)
IF experience<=1.0 AND age>=21.0 AND potential<=0.9496962976212068 THEN Class=reject ,[6.0; 1.0],[6; 0; 1],{1.0: 5; 0.0: 2},(0.2130177514792899)
IF age>=20.0 THEN Class=hire ,[0.0; 6.0],[0; 0; 6],{0.0: 5; 1.0: 1},(1e-06)
IF TRUE THEN Class=reject ,[6427.0; 3573.0],[6427; 0; 3573],{0.0: 6194; 1.0: 3806},(1e-06)
