IF extra_degree==False THEN Class=reject ,[6229.0; 0.0],[6229; 0; 0],{0.0: 3856; 1.0: 2373},(0.22997468)
IF potential>=0.032584155597489214 AND potential<=0.8825555297439849 AND experiences<=0.25212765957446803 THEN Class=hire ,[3.0; 3157.0],[3; 0; 3157],{0.0: 1943; 1.0: 1217},(0.0167594661797057)
IF language_english!=False AND experience>=1.0 AND potential<=0.9505508370031157 AND experiences<=0.3085106382978723 THEN Class=hire ,[4.0; 406.0],[4; 0; 406],{0.0: 269; 1.0: 141},(0.07692039826315691)
IF english_speaking>=0.25925925925925924 AND experience>=3.0 THEN Class=hire ,[5.0; 91.0],[5; 0; 91],{0.0: 63; 1.0: 33},(0.14620925224623152)
IF language_english==False AND experience<=23.0 AND english_speaking<=0.35714285714285715 AND german_speaking<=0.07894736842105263 THEN Class=reject ,[47.0; 6.0],[47; 0; 6],{0.0: 32; 1.0: 21},(0.12553287981859412)
IF experiences<=0.22872340425531915 AND age<=54.0 AND french_speaking<=0.3541666666666667 THEN Class=hire ,[0.0; 23.0],[0; 0; 23],{0.0: 13; 1.0: 10},(0.17011834319526625)
IF english_speaking<=0.35555555555555557 AND potential>=0.8839194828833824 AND language_french!=False THEN Class=reject ,[13.0; 0.0],[13; 0; 0],{0.0: 9; 1.0: 4},(0.13912009512485135)
IF potential<=0.883883166953366 AND gender!=0 AND language_german==False THEN Class=reject ,[6.0; 0.0],[6; 0; 0],{1.0: 4; 0.0: 2},(0.2109375)
IF dutch_speaking<=0.2619047619047619 THEN Class=hire ,[0.0; 9.0],[0; 0; 9],{1.0: 7; 0.0: 2},(0.08999999999999998)
IF TRUE THEN Class=reject ,[6308.0; 3692.0],[6308; 0; 3692],{0.0: 6190; 1.0: 3810},(1e-06)
