IF extra_degree!=False THEN Class=hire ,[3566.0; 3824.0],[3; 3563; 261],{0.0: 2366; 1.0: 1461},(0.08205703999999998)
IF potential<=0.3494244734328352 THEN Class=hire ,[2372.0; 2372.0],[0; 2372; 0],{0.0: 1440; 1.0: 932},(0.13376994430446768)
IF experiences<=0.04893617021276595 THEN Class=reject ,[16.0; 16.0],[0; 16; 0],{0.0: 9; 1.0: 7},(0.0023799106855179625)
IF dutch_speaking>=0.39999999999800007 THEN Class=hire ,[13.0; 13.0],[0; 13; 0],{0.0: 9; 1.0: 4},(3.4346103038309113e-09)
IF age>=18.0 AND french_speaking<=0.19047619047619047 THEN Class=hire ,[11.0; 11.0],[0; 11; 0],{0.0: 7; 1.0: 4},(2.9162248144220573e-09)
IF english_speaking<=0.22222222222253085 THEN Class=hire ,[10.0; 10.0],[0; 10; 0],{0.0: 8; 1.0: 2},(2.6588673225206063e-09)
IF english_speaking>=0.454545454543595 THEN Class=reject ,[7.0; 7.0],[0; 7; 0],{0.0: 4; 1.0: 3},(0.0010691541528675087)
IF age<=64.0 AND german_speaking>=0.2222222222222222 THEN Class=hire ,[7.0; 7.0],[0; 7; 0],{0.0: 4; 1.0: 3},(0.0010731557957118856)
IF extra_degree==False AND experiences<=0.04893617021276596 THEN Class=hire ,[7.0; 7.0],[0; 7; 0],{0.0: 5; 1.0: 2},(1.873160289001873e-09)
IF dutch_speaking<=0.06666666666666667 THEN Class=hire ,[3.0; 3.0],[0; 3; 0],{0.0: 2; 1.0: 1},(0.00046338290363619373)
IF french_speaking>=0.5833333333277778 THEN Class=hire ,[2.0; 2.0],[0; 2; 0],{1.0: 2},(0.00030941946127465694)
IF age>=18.0 AND french_speaking<=0.49999999999749994 AND french_speaking>=0.49999999999749994 THEN Class=hire ,[2.0; 2.0],[0; 2; 0],{1.0: 1; 0.0: 1},(5.369127516778522e-10)
IF age>=18.0 THEN Class=reject ,[3723.0; 1574.0],[2149; 1574; 0],{0.0: 2324; 1.0: 1399},(1e-06)
IF TRUE THEN Class=reject ,[9739.0; 7848.0],[2152; 7587; 261],{0.0: 6179; 1.0: 3821},(1e-06)
