IF potential<=0.34987718052970346 THEN Class=reject ,[3882.0; 3882.0],[0; 3882; 0],{0.0: 2392; 1.0: 1490},(0.00842394000000002)
IF extra_degree!=False THEN Class=hire ,[2110.0; 2323.0],[4; 2106; 217],{0.0: 1432; 1.0: 895},(0.1268558546899534)
IF experiences<=0.05106382978723404 THEN Class=hire ,[22.0; 22.0],[0; 22; 0],{0.0: 16; 1.0: 6},(5.803218148245844e-09)
IF french_speaking<=0.17647058823529413 THEN Class=reject ,[21.0; 21.0],[0; 21; 0],{0.0: 15; 1.0: 6},(0.003026111057649291)
IF age>=18.0 AND english_speaking>=0.43478260869404534 THEN Class=hire ,[18.0; 18.0],[0; 18; 0],{0.0: 11; 1.0: 7},(4.8025613660618995e-09)
IF age>=18.0 AND dutch_speaking<=0.0625 THEN Class=hire ,[17.0; 17.0],[0; 17; 0],{0.0: 13; 1.0: 4},(4.557640750670241e-09)
IF german_speaking>=0.20833333333333334 THEN Class=hire ,[12.0; 12.0],[0; 12; 0],{0.0: 8; 1.0: 4},(0.0017817599398362253)
IF dutch_speaking>=0.41666666666527774 THEN Class=hire ,[8.0; 8.0],[0; 8; 0],{0.0: 6; 1.0: 2},(0.0011955552735880334)
IF extra_degree==False AND english_speaking<=0.42857142856972785 AND english_speaking>=0.4230769230769231 THEN Class=hire ,[6.0; 6.0],[0; 6; 0],{0.0: 5; 1.0: 1},(0.0009005554891980633)
IF age>=18.0 THEN Class=reject ,[3687.0; 1640.0],[2047; 1640; 0],{0.0: 2271; 1.0: 1416},(1e-06)
IF TRUE THEN Class=reject ,[9783.0; 7949.0],[2051; 7732; 217],{0.0: 6169; 1.0: 3831},(1e-06)
