IF extra_degree!=False AND potential>=0.048609064081170945 THEN Class=hire ,[3.0; 2874.0],[3; 0; 2874],{0.0: 1921; 1.0: 956},(0.19772391)
IF extra_degree==False AND experience<=25.0 AND potential<=0.883110164834596 AND experiences<=0.32340425531914885 THEN Class=reject ,[5127.0; 11.0],[5127; 0; 11],{0.0: 2939; 1.0: 2199},(0.02306360298786315)
IF language_english==False AND experiences<=0.3159574468085106 THEN Class=reject ,[1081.0; 30.0],[1081; 0; 30],{0.0: 727; 1.0: 384},(0.050302203554365536)
IF language_dutch==False AND experience<=37.0 AND english_speaking<=0.4166666666666667 AND german_speaking<=0.15789473684210525 THEN Class=reject ,[331.0; 10.0],[331; 0; 10],{0.0: 227; 1.0: 114},(0.07873267388947947)
IF language_french!=False AND degree!=False AND language_german==False AND experience>=2.0 AND potential<=0.8836142715483831 THEN Class=hire ,[19.0; 166.0],[19; 0; 166],{0.0: 129; 1.0: 56},(0.18641341269813333)
IF language_german==False AND potential<=0.6842261284148311 AND age>=28.0 THEN Class=reject ,[168.0; 0.0],[168; 0; 0],{0.0: 112; 1.0: 56},(0.03606817281014663)
IF experience<=9.0 THEN Class=reject ,[88.0; 2.0],[88; 0; 2],{0.0: 63; 1.0: 27},(0.061111111111111116)
IF degree==False THEN Class=reject ,[29.0; 0.0],[29; 0; 0],{0.0: 18; 1.0: 11},(0.08592592592592595)
IF german_speaking<=0.05263157894736842 AND gender!=0 AND potential<=0.9170711464664147 THEN Class=reject ,[22.0; 2.0],[22; 0; 2],{0.0: 23; 1.0: 1},(0.12201021230851919)
IF dutch_speaking>=0.22448979591836735 AND german_speaking<=0.10204081632653061 AND potential<=0.9169427674496096 THEN Class=reject ,[11.0; 1.0],[11; 0; 1],{0.0: 8; 1.0: 4},(0.16581446311176043)
IF language_french!=False THEN Class=hire ,[0.0; 13.0],[0; 0; 13],{0.0: 13},(0.08320000000000002)
IF german_speaking<=0.023255813953488372 AND age<=54.0 THEN Class=reject ,[4.0; 0.0],[4; 0; 0],{0.0: 2; 1.0: 2},(0.22222222222222224)
IF age>=36.0 THEN Class=hire ,[0.0; 8.0],[0; 0; 8],{0.0: 5; 1.0: 3},(1e-06)
IF TRUE THEN Class=reject ,[6883.0; 3117.0],[6883; 0; 3117],{0.0: 6187; 1.0: 3813},(1e-06)
