IF extra_degree!=False AND potential>=0.04862109096095595 THEN Class=hire ,[5.0; 2720.0],[5; 0; 2720],{0.0: 1809; 1.0: 916},(0.19155800000000003)
IF extra_degree==False AND potential<=0.8000067767490966 AND experience<=33.0 AND german_speaking<=0.16216216216216217 AND experiences<=0.25851063829787235 THEN Class=reject ,[5301.0; 4.0],[5301; 0; 4],{0.0: 3134; 1.0: 2171},(0.02270469172541654)
IF language_english==False AND age<=63.0 AND french_speaking<=0.4444444444433642 AND potential<=0.9505555731436448 THEN Class=reject ,[991.0; 25.0],[991; 0; 25],{0.0: 620; 1.0: 396},(0.046998892009585395)
IF language_dutch==False AND potential<=0.9334030196208098 AND english_speaking<=0.4146341463414634 THEN Class=reject ,[398.0; 13.0],[398; 0; 13],{0.0: 294; 1.0: 117},(0.07804609522302652)
IF language_french!=False AND french_speaking<=0.3 AND experience>=2.0 AND language_german==False AND degree!=False THEN Class=hire ,[9.0; 138.0],[9; 0; 138],{0.0: 107; 1.0: 40},(0.15941719320737055)
IF experience<=9.0 THEN Class=reject ,[176.0; 3.0],[176; 0; 3],{0.0: 110; 1.0: 69},(0.051780430568309326)
IF degree==False THEN Class=reject ,[77.0; 0.0],[77; 0; 0],{0.0: 47; 1.0: 30},(0.08012486992715923)
IF language_french==False AND dutch_speaking<=0.25 AND french_speaking<=0.4285714285663265 AND potential<=0.8833914369929461 THEN Class=reject ,[54.0; 0.0],[54; 0; 0],{0.0: 38; 1.0: 16},(0.135)
IF experience>=18.0 AND age>=46.0 AND dutch_speaking<=0.3333333333333333 THEN Class=hire ,[5.0; 35.0],[5; 0; 35],{0.0: 30; 1.0: 10},(0.1419686316928069)
IF married==False AND english_speaking<=0.2894736842105263 AND french_speaking<=0.34210526315789475 THEN Class=hire ,[0.0; 12.0],[0; 0; 12],{0.0: 9; 1.0: 3},(0.18147448015122872)
IF german_speaking<=0.058823529411764705 THEN Class=reject ,[24.0; 0.0],[24; 0; 0],{0.0: 13; 1.0: 11},(0.04152249134948098)
IF language_french==False AND age>=41.0 THEN Class=hire ,[0.0; 2.0],[0; 0; 2],{1.0: 1; 0.0: 1},(0.16000000000000003)
IF age>=33.0 THEN Class=reject ,[8.0; 0.0],[8; 0; 0],{0.0: 6; 1.0: 2},(1e-06)
IF TRUE THEN Class=reject ,[7048.0; 2952.0],[7048; 0; 2952],{0.0: 6218; 1.0: 3782},(1e-06)
