IF extra_degree!=False AND potential>=0.048665420455253426 THEN Class=hire ,[6.0; 2808.0],[6; 0; 2808],{0.0: 1861; 1.0: 953},(0.19463531999999997)
IF extra_degree==False AND experience<=28.0 AND extra_degrees<=0.85 AND experiences<=0.28936170212765966 THEN Class=reject ,[5411.0; 9.0],[5411; 0; 9],{0.0: 3081; 1.0: 2339},(0.025407468475711407)
IF language_english==False AND age<=63.0 AND potential<=0.9498958346904951 THEN Class=reject ,[905.0; 27.0],[905; 0; 27],{0.0: 616; 1.0: 316},(0.057926301384269886)
IF language_dutch==False AND experiences<=0.29787234042553196 AND dutch_speaking<=0.3333333333324074 THEN Class=reject ,[324.0; 15.0],[324; 0; 15],{0.0: 241; 1.0: 98},(0.08826320238773014)
IF language_french!=False AND language_german==False AND degree!=False AND experience>=2.0 AND french_speaking<=0.35135135135135137 THEN Class=hire ,[19.0; 169.0],[19; 0; 169],{0.0: 129; 1.0: 59},(0.18565860626466688)
IF experience<=12.0 THEN Class=reject ,[131.0; 5.0],[131; 0; 5],{0.0: 81; 1.0: 55},(0.032774883553141176)
IF degree==False THEN Class=reject ,[77.0; 0.0],[77; 0; 0],{0.0: 52; 1.0: 25},(0.07636537738107453)
IF english_speaking>=0.27906976744186046 AND french_speaking<=0.3749999999968751 AND potential>=0.15057316129544449 THEN Class=hire ,[2.0; 20.0],[2; 0; 20],{0.0: 18; 1.0: 4},(0.1405613399728384)
IF language_french==False THEN Class=reject ,[38.0; 0.0],[38; 0; 0],{0.0: 29; 1.0: 9},(0.06597222222222222)
IF gender!=0 AND age>=46.0 THEN Class=reject ,[14.0; 0.0],[14; 0; 0],{0.0: 11; 1.0: 3},(0.10899653979238752)
IF age>=42.0 AND age<=53.0 THEN Class=hire ,[0.0; 8.0],[0; 0; 8],{0.0: 6; 1.0: 2},(0.22000000000000003)
IF english_speaking<=0.3448275862062426 THEN Class=reject ,[11.0; 0.0],[11; 0; 0],{0.0: 7; 1.0: 4},(0.07638888888888892)
IF TRUE THEN Class=reject ,[6938.0; 3062.0],[6938; 0; 3062],{0.0: 6133; 1.0: 3867},(1e-06)
