IF potential<=0.3493626105035811 THEN Class=hire ,[3851.0; 3851.0],[0; 3851; 0],{0.0: 2363; 1.0: 1488},(0.007201370000000019)
IF extra_degree!=False THEN Class=hire ,[2153.0; 2339.0],[1; 2152; 187],{0.0: 1483; 1.0: 857},(0.12751244035967965)
IF english_speaking>=0.43749999999765626 THEN Class=reject ,[22.0; 22.0],[0; 22; 0],{0.0: 16; 1.0: 6},(0.003126722914686934)
IF german_speaking>=0.18181818181818182 THEN Class=hire ,[19.0; 19.0],[0; 19; 0],{0.0: 11; 1.0: 8},(0.0027318173041918107)
IF age>=18.0 AND experiences<=0.034042553191489355 THEN Class=hire ,[8.0; 8.0],[0; 8; 0],{0.0: 4; 1.0: 4},(0.0011618681848711463)
IF dutch_speaking>=0.4117647058823529 THEN Class=reject ,[8.0; 8.0],[0; 8; 0],{0.0: 5; 1.0: 3},(2.127659574468085e-09)
IF age>=18.0 AND english_speaking<=0.20833333333333334 THEN Class=hire ,[7.0; 7.0],[0; 7; 0],{0.0: 5; 1.0: 2},(1.8656716417910446e-09)
IF french_speaking<=0.17391304347826086 THEN Class=hire ,[3.0; 3.0],[0; 3; 0],{0.0: 2; 1.0: 1},(0.00044106873249780295)
IF age>=18.0 THEN Class=reject ,[3742.0; 1680.0],[2062; 1680; 0],{0.0: 2287; 1.0: 1455},(1e-06)
IF TRUE THEN Class=reject ,[9813.0; 7937.0],[2063; 7750; 187],{0.0: 6176; 1.0: 3824},(1e-06)
