IF potential<=0.3833161134359886 THEN Class=reject ,[4162.0; 4162.0],[0; 4162; 0],{0.0: 2520; 1.0: 1642},(0.011986560000000021)
IF extra_degree!=False THEN Class=hire ,[1952.0; 2233.0],[7; 1945; 288],{0.0: 1395; 1.0: 845},(0.14082916606077933)
IF experiences<=0.05957446808510638 THEN Class=hire ,[32.0; 32.0],[0; 32; 0],{0.0: 19; 1.0: 13},(8.893829905503056e-09)
IF english_speaking>=0.4210526315771468 THEN Class=hire ,[18.0; 18.0],[0; 18; 0],{0.0: 10; 1.0: 8},(5.047672462142456e-09)
IF dutch_speaking>=0.45 THEN Class=reject ,[17.0; 17.0],[0; 17; 0],{1.0: 9; 0.0: 8},(4.791431792559188e-09)
IF french_speaking<=0.19047619047619047 THEN Class=hire ,[7.0; 7.0],[0; 7; 0],{1.0: 5; 0.0: 2},(1.9824412347776835e-09)
IF potential<=0.950918375102358 AND english_speaking<=0.16666666666666666 THEN Class=hire ,[5.0; 5.0],[0; 5; 0],{0.0: 3; 1.0: 2},(1.4188422247446083e-09)
IF german_speaking>=0.2 THEN Class=reject ,[4.0; 4.0],[0; 4; 0],{1.0: 2; 0.0: 2},(1.1366865586814436e-09)
IF age>=18.0 THEN Class=reject ,[3515.0; 1361.0],[2154; 1361; 0],{0.0: 2199; 1.0: 1316},(1e-06)
IF TRUE THEN Class=reject ,[9712.0; 7839.0],[2161; 7551; 288],{0.0: 6158; 1.0: 3842},(1e-06)
