IF extra_degree==False THEN Class=reject ,[6166.0; 0.0],[6166; 0; 0],{0.0: 3846; 1.0: 2320},(0.23116334000000002)
IF german_speaking>=1.388888888881173e-12 AND potential<=0.8992713812583757 THEN Class=hire ,[3.0; 3326.0],[3; 0; 3326],{0.0: 2037; 1.0: 1292},(0.018467428540018458)
IF language_english!=False AND experience>=2.0 THEN Class=hire ,[8.0; 324.0],[8; 0; 324],{0.0: 203; 1.0: 129},(0.09090873443780026)
IF potential<=0.8827821027720553 AND language_english==False AND experience<=16.0 THEN Class=reject ,[50.0; 5.0],[50; 0; 5],{0.0: 33; 1.0: 22},(0.1530288349092853)
IF experience>=3.0 AND experience<=27.0 THEN Class=hire ,[1.0; 59.0],[1; 0; 59],{0.0: 35; 1.0: 25},(0.09494398161447858)
IF french_speaking>=0.2978723404255319 AND experience<=2.0 AND potential<=0.9499540269087271 AND experiences>=0.20212765957446804 THEN Class=reject ,[16.0; 3.0],[16; 0; 3],{1.0: 11; 0.0: 8},(0.14595719381688463)
IF language_french!=False AND age<=29.0 THEN Class=hire ,[0.0; 14.0],[0; 0; 14],{0.0: 8; 1.0: 6},(0.06443129520052598)
IF potential>=0.8673001900714574 THEN Class=hire ,[0.0; 7.0],[0; 0; 7],{0.0: 6; 1.0: 1},(0.07840000000000001)
IF language_french==False AND age>=23.0 AND age<=63.0 THEN Class=reject ,[5.0; 1.0],[5; 0; 1],{1.0: 4; 0.0: 2},(0.14814814814814814)
IF language_dutch==False AND experience<=0.0 THEN Class=reject ,[2.0; 0.0],[2; 0; 0],{1.0: 2},(0.1388888888888889)
IF age>=20.0 THEN Class=hire ,[0.0; 10.0],[0; 0; 10],{0.0: 5; 1.0: 5},(1e-06)
IF TRUE THEN Class=reject ,[6251.0; 3749.0],[6251; 0; 3749],{0.0: 6183; 1.0: 3817},(1e-06)
