IF potential<=0.3830340439208773 THEN Class=reject ,[4090.0; 4090.0],[0; 4090; 0],{0.0: 2531; 1.0: 1559},(0.08797589999999998)
IF extra_degree!=False THEN Class=hire ,[2085.0; 2303.0],[1; 2084; 219],{0.0: 1364; 1.0: 940},(0.14171953241086688)
IF experiences<=0.07765957446808511 THEN Class=reject ,[150.0; 150.0],[0; 150; 0],{0.0: 87; 1.0: 63},(0.02480151863736073)
IF age>=18.0 AND english_speaking>=0.42857142857142855 THEN Class=hire ,[14.0; 14.0],[0; 14; 0],{0.0: 8; 1.0: 6},(0.0025201072745198896)
IF age>=18.0 AND dutch_speaking<=0.06666666666666667 THEN Class=hire ,[6.0; 6.0],[0; 6; 0],{0.0: 4; 1.0: 2},(0.001088849806589888)
IF age<=64.0 AND english_speaking<=0.2142857142862245 THEN Class=reject ,[6.0; 6.0],[0; 6; 0],{0.0: 4; 1.0: 2},(1.7462165308498253e-09)
IF age>=18.0 AND dutch_speaking>=0.43749999999765626 THEN Class=reject ,[4.0; 4.0],[0; 4; 0],{0.0: 3; 1.0: 1},(1.1661807580174926e-09)
IF age>=18.0 AND experience<=45.0 AND french_speaking<=0.5263157894736842 AND french_speaking>=0.47058823529411764 THEN Class=hire ,[10.0; 10.0],[0; 10; 0],{0.0: 5; 1.0: 5},(2.918855808523059e-09)
IF age>=18.0 AND french_speaking<=0.15 THEN Class=hire ,[2.0; 2.0],[0; 2; 0],{1.0: 2},(5.854800936768149e-10)
IF age>=18.0 THEN Class=reject ,[3414.0; 1264.0],[2150; 1264; 0],{0.0: 2102; 1.0: 1312},(1e-06)
IF TRUE THEN Class=reject ,[9781.0; 7849.0],[2151; 7630; 219],{0.0: 6108; 1.0: 3892},(1e-06)
