IF extra_degree!=False THEN Class=hire ,[3575.0; 3834.0],[0; 3575; 259],{0.0: 2337; 1.0: 1497},(0.07997724)
IF potential<=0.33396182623893883 THEN Class=reject ,[2273.0; 2273.0],[0; 2273; 0],{0.0: 1411; 1.0: 862},(0.12471155633695456)
IF german_speaking>=0.19230769230769232 THEN Class=reject ,[15.0; 15.0],[0; 15; 0],{0.0: 10; 1.0: 5},(0.0020646039586158086)
IF english_speaking>=0.4285714285688776 THEN Class=hire ,[27.0; 27.0],[0; 27; 0],{0.0: 15; 1.0: 12},(6.962351727694688e-09)
IF dutch_speaking>=0.4583333333333333 THEN Class=hire ,[17.0; 17.0],[0; 17; 0],{0.0: 9; 1.0: 8},(0.00239120157575747)
IF age<=64.0 AND experiences<=0.04468085106382978 THEN Class=reject ,[14.0; 14.0],[0; 14; 0],{0.0: 12; 1.0: 2},(3.651538862806468e-09)
IF age>=18.0 AND german_speaking>=0.19047619047619047 THEN Class=reject ,[10.0; 10.0],[0; 10; 0],{0.0: 5; 1.0: 5},(2.617801047120419e-09)
IF age>=18.0 AND dutch_speaking<=0.10526315789473684 THEN Class=hire ,[9.0; 9.0],[0; 9; 0],{1.0: 5; 0.0: 4},(0.0012933225866451734)
IF potential<=0.3343088316254462 THEN Class=hire ,[8.0; 8.0],[0; 8; 0],{1.0: 4; 0.0: 4},(2.104709287029729e-09)
IF age>=18.0 AND french_speaking>=0.4999999999958334 THEN Class=reject ,[3.0; 3.0],[0; 3; 0],{1.0: 2; 0.0: 1},(0.0004349805853943417)
IF dutch_speaking>=0.4444444444444444 THEN Class=hire ,[3.0; 3.0],[0; 3; 0],{1.0: 2; 0.0: 1},(0.0004356694815547092)
IF age>=18.0 AND french_speaking<=0.15789473684210525 THEN Class=reject ,[3.0; 3.0],[0; 3; 0],{1.0: 2; 0.0: 1},(0.0004363600155605786)
IF age>=18.0 THEN Class=reject ,[3784.0; 1698.0],[2086; 1698; 0],{0.0: 2373; 1.0: 1411},(1e-06)
IF TRUE THEN Class=reject ,[9741.0; 7914.0],[2086; 7655; 259],{0.0: 6183; 1.0: 3817},(1e-06)
