IF extra_degree==False THEN Class=reject ,[6219.0; 228.0],[6219; 0; 228],{0.0: 3779; 1.0: 2668},(0.18891948000000003)
IF german_speaking>=0.029411764705882353 AND potential<=0.7667053515790988 AND experience>=1.0 AND experiences<=0.28510638297872337 AND french_speaking<=0.4999999999875 THEN Class=hire ,[58.0; 1533.0],[58; 0; 1533],{0.0: 1093; 1.0: 498},(0.04631351757619273)
IF age>=43.0 AND experience>=2.0 AND experiences<=0.3351063829787234 AND dutch_speaking<=0.799999999978 AND potential<=0.933719844988228 THEN Class=hire ,[78.0; 622.0],[78; 0; 622],{0.0: 540; 1.0: 160},(0.040074358790516254)
IF potential>=0.2493180881498572 AND experiences<=0.2702127659574468 AND age<=41.0 AND french_speaking<=0.4999999999958334 AND extra_degrees>=0.25 THEN Class=hire ,[110.0; 455.0],[110; 0; 455],{0.0: 373; 1.0: 192},(0.04090367966727028)
IF experience>=6.0 AND potential<=0.23369352353217582 AND age<=59.0 AND age>=31.0 AND english_speaking<=0.4999999999875 THEN Class=hire ,[62.0; 173.0],[62; 0; 173],{0.0: 168; 1.0: 67},(0.03246337552412572)
IF german_speaking>=9.999999999600001e-12 AND language_french!=False AND dutch_speaking>=1.6666666665555557e-11 AND dutch_speaking<=0.99999999985 AND potential>=0.048847798627458985 THEN Class=hire ,[63.0; 143.0],[63; 0; 143],{0.0: 130; 1.0: 76},(0.04604486422668241)
IF potential<=0.20032824355552123 AND married==False AND experience<=6.0 AND french_speaking<=0.6666666666388888 AND dutch_speaking<=0.99999999985 THEN Class=hire ,[52.0; 88.0],[52; 0; 88],{0.0: 87; 1.0: 53},(0.0660400390625)
IF german_speaking>=4.5454545453719014e-12 AND potential<=0.9338175494631085 AND experiences<=0.28829787234042553 AND french_speaking<=0.4999999999937501 AND dutch_speaking>=2.49999999975e-11 THEN Class=reject ,[41.0; 9.0],[41; 0; 9],{1.0: 41; 0.0: 9},(0.07847800237812123)
IF english_speaking>=0.32352941176427336 AND experiences<=0.29468085106382974 AND german_speaking>=1.4705882352854673e-12 THEN Class=hire ,[2.0; 14.0],[2; 0; 14],{0.0: 13; 1.0: 3},(0.09090909090909091)
IF experience>=5.0 AND potential<=0.9507877061572497 AND dutch_speaking<=0.25 AND age>=30.0 THEN Class=reject ,[14.0; 1.0],[14; 0; 1],{1.0: 14; 0.0: 1},(0.094)
IF age>=27.0 AND dutch_speaking<=0.29411764705882354 AND age<=42.0 AND experience>=1.0 AND german_speaking<=0.08823529411764706 THEN Class=hire ,[4.0; 17.0],[4; 0; 17],{0.0: 17; 1.0: 4},(0.17714285714285719)
IF age<=24.0 THEN Class=hire ,[1.0; 1.0],[1; 0; 1],{1.0: 1; 0.0: 1},(-3.0000000000000004)
IF age>=25.0 THEN Class=reject ,[12.0; 0.0],[12; 0; 0],{1.0: 12},(1e-06)
IF TRUE THEN Class=reject ,[6716.0; 3284.0],[6716; 0; 3284],{0.0: 6211; 1.0: 3789},(1e-06)
