IF degree!=False AND degrees<=0.8 AND experiences<=0.25638297872340426 AND potential<=0.7999302753509054 THEN Class=hire ,[4808.0; 5088.0],[203; 4605; 483],{0.0: 3497; 1.0: 1794},(0.12684271000000003)
IF extra_degree==False THEN Class=reject ,[4043.0; 1519.0],[2526; 1517; 2],{0.0: 2263; 1.0: 1782},(0.08111489856381697)
IF potential<=0.8830915176698918 AND experiences<=0.3117021276595745 AND age>=25.0 AND german_speaking>=1.2820512820447076e-12 AND degrees<=0.9 THEN Class=hire ,[106.0; 345.0],[0; 106; 239],{0.0: 237; 1.0: 108},(0.04068986790535636)
IF age>=32.0 AND language_english!=False AND dutch_speaking<=0.2972972972972973 AND german_speaking>=0.023809523809523808 THEN Class=hire ,[32.0; 117.0],[4; 28; 89],{0.0: 89; 1.0: 32},(0.049291968435844755)
IF experiences<=0.2436170212765957 AND potential<=0.9492501853777717 AND french_speaking<=0.3953488372093023 AND english_speaking<=0.37209302325581395 AND age<=57.0 THEN Class=hire ,[12.0; 48.0],[1; 11; 37],{0.0: 37; 1.0: 12},(0.054943373125191305)
IF english_speaking>=0.3333333333333333 AND experiences<=0.3148936170212766 AND potential<=0.9507499750852514 AND dutch_speaking>=0.10810810810810811 THEN Class=hire ,[28.0; 57.0],[13; 15; 42],{0.0: 41; 1.0: 29},(0.06094320075672266)
IF experience<=10.0 AND french_speaking>=0.325 AND potential>=0.8333618185998064 AND german_speaking>=0.02631578947368421 AND extra_degrees>=0.75 THEN Class=reject ,[29.0; 11.0],[24; 5; 6],{1.0: 29; 0.0: 6},(0.13715750680980615)
IF dutch_speaking<=0.29411764705882354 AND language_french!=False AND potential<=0.9335992648826152 THEN Class=hire ,[2.0; 17.0],[0; 2; 15],{0.0: 15; 1.0: 2},(0.0878099173553719)
IF experiences>=0.2808510638297872 AND age<=43.0 AND dutch_speaking<=0.3111111111111111 THEN Class=reject ,[8.0; 3.0],[8; 0; 3],{1.0: 8; 0.0: 3},(0.14540466392318244)
IF french_speaking<=0.29411764705882354 AND age<=60.0 AND language_dutch!=False THEN Class=reject ,[2.0; 0.0],[2; 0; 0],{1.0: 2},(0.109375)
IF age>=32.0 THEN Class=hire ,[0.0; 14.0],[0; 0; 14],{0.0: 14},(1e-06)
IF TRUE THEN Class=reject ,[9070.0; 7219.0],[2781; 6289; 930],{0.0: 6202; 1.0: 3798},(1e-06)
