IF degree!=False AND potential<=0.7997662573849247 AND degrees<=0.8 AND experiences<=0.29574468085106387 THEN Class=hire ,[4820.0; 5057.0],[243; 4577; 480],{0.0: 3454; 1.0: 1846},(0.12447099999999998)
IF extra_degree==False THEN Class=reject ,[4052.0; 1554.0],[2499; 1553; 1],{0.0: 2234; 1.0: 1819},(0.07593005885015841)
IF degrees<=0.9 AND experiences<=0.3159574468085106 AND english_speaking>=0.23529411764705882 AND english_speaking<=0.4166666666666667 THEN Class=hire ,[123.0; 376.0],[4; 119; 257],{0.0: 256; 1.0: 124},(0.052822562343380064)
IF age>=36.0 AND experiences<=0.28829787234042553 THEN Class=hire ,[36.0; 107.0],[5; 31; 76],{0.0: 76; 1.0: 36},(0.077108670341848)
IF english_speaking>=0.3409090909090909 AND age<=46.0 AND german_speaking<=0.09302325581395349 AND experiences<=0.324468085106383 AND potential<=0.9498758123956808 THEN Class=reject ,[36.0; 18.0],[29; 7; 11],{1.0: 36; 0.0: 11},(0.08749219562955254)
IF french_speaking<=0.36585365853658536 AND french_speaking>=0.27906976744186046 AND experiences<=0.3404255319148936 AND english_speaking>=0.3023255813953488 AND dutch_speaking>=0.1836734693877551 THEN Class=hire ,[11.0; 48.0],[4; 7; 41],{0.0: 41; 1.0: 11},(0.08333333333333336)
IF potential<=0.9160240001629603 AND experiences<=0.32765957446808514 AND extra_degrees<=0.85 AND german_speaking<=0.13157894736842105 AND experience>=2.0 THEN Class=reject ,[16.0; 7.0],[12; 4; 3],{1.0: 16; 0.0: 3},(0.12213010204081631)
IF age>=31.0 AND french_speaking<=0.38461538461538464 AND dutch_speaking<=0.32608695652173914 AND experiences<=0.3478723404255319 THEN Class=hire ,[0.0; 13.0],[0; 0; 13],{0.0: 13},(0.10445580715850986)
IF dutch_speaking>=0.2777777777777778 AND dutch_speaking<=0.3333333333333333 AND age<=40.0 THEN Class=reject ,[9.0; 2.0],[9; 0; 2],{1.0: 9; 0.0: 2},(0.16493055555555558)
IF age<=29.0 THEN Class=hire ,[0.0; 7.0],[0; 0; 7],{0.0: 7},(0.08284023668639054)
IF experience<=6.0 AND gender!=0 THEN Class=reject ,[2.0; 0.0],[2; 0; 0],{1.0: 2},(0.22222222222222224)
IF age>=30.0 THEN Class=hire ,[0.0; 4.0],[0; 0; 4],{0.0: 4},(1e-06)
IF TRUE THEN Class=reject ,[9105.0; 7193.0],[2807; 6298; 895],{0.0: 6101; 1.0: 3899},(1e-06)
