IF extra_degree!=False AND potential>=0.048921437594442965 THEN Class=hire ,[5.0; 2848.0],[5; 0; 2848],{0.0: 1887; 1.0: 966},(0.19610023)
IF extra_degree==False AND experience<=26.0 AND potential<=0.8834005914397716 AND german_speaking<=0.19444444444444445 THEN Class=reject ,[5305.0; 11.0],[5305; 0; 11],{0.0: 3036; 1.0: 2280},(0.025623904051418987)
IF degree==False THEN Class=reject ,[812.0; 0.0],[812; 0; 0],{0.0: 511; 1.0: 301},(0.06055072525153157)
IF language_dutch==False AND german_speaking<=0.06976744186046512 AND experience<=36.0 AND english_speaking<=0.399999999994 AND dutch_speaking<=0.399999999994 THEN Class=reject ,[347.0; 4.0],[347; 0; 4],{0.0: 243; 1.0: 108},(0.08058276456839189)
IF language_french!=False AND experience>=2.0 AND language_english!=False AND french_speaking<=0.39999999999800007 AND language_german==False THEN Class=hire ,[29.0; 182.0],[29; 0; 182],{0.0: 155; 1.0: 56},(0.15613234608627058)
IF german_speaking<=0.023255813953488372 AND language_german==False AND experience<=37.0 THEN Class=reject ,[215.0; 2.0],[215; 0; 2],{0.0: 144; 1.0: 73},(0.06212143701909036)
IF experience<=9.0 THEN Class=reject ,[80.0; 1.0],[80; 0; 1],{0.0: 50; 1.0: 31},(0.08302083333333331)
IF extra_degrees>=0.75 AND experience>=20.0 AND potential<=0.9339224330787411 AND english_speaking<=0.37777777777777777 THEN Class=hire ,[2.0; 33.0],[2; 0; 33],{0.0: 28; 1.0: 7},(0.12309639650330287)
IF potential>=0.2992527801261705 AND experience<=38.0 THEN Class=reject ,[52.0; 0.0],[52; 0; 0],{0.0: 40; 1.0: 12},(0.09469302809573363)
IF married==False AND language_french!=False AND potential<=0.4500519698028024 THEN Class=hire ,[5.0; 19.0],[5; 0; 19],{0.0: 16; 1.0: 8},(0.13425925925925924)
IF english_speaking<=0.2857142857142857 AND age>=34.0 THEN Class=reject ,[32.0; 2.0],[32; 0; 2],{0.0: 27; 1.0: 7},(0.09114583333333333)
IF french_speaking>=0.35714285714285715 AND potential>=0.24993637601603683 THEN Class=reject ,[7.0; 0.0],[7; 0; 0],{0.0: 7},(0.25)
IF age>=33.0 THEN Class=hire ,[0.0; 7.0],[0; 0; 7],{0.0: 7},(1e-06)
IF TRUE THEN Class=reject ,[6891.0; 3109.0],[6891; 0; 3109],{0.0: 6151; 1.0: 3849},(1e-06)
